RECORD_ID,REPAIR_NAME,REPAIR_HOURS
21ef8187f74946ff94d030c775244318,XM更换机油/机滤/空滤/柴滤,0.5
889caf3ed565473483e2b1e3ba1d047d,XM安装摄像头,0.5
84658f0b1bef42338068a9a4d89c5052,首保以及四轮螺丝紧固,0.0
287d2862df764dbaa05841569e07e385,二级维护保养,26.0
9102d6ddbeb84d319485dab0a4111921,更换增压传感器,0.0
a697c0a4f7e3498ba7324e59a978356f,轻卡发动机保养,1.0
8419d034ba9740fbb4f54c133076942a,保养后轮轴承（单侧）,0.0
8099a14cd35846a4805e8b400cf05e8a,清洗尿素喷嘴,0.0
eb607605e0ff42f7b55ea36980a0a24d,修复行驶系,1.0
eb607605e0ff42f7b55ea36980a0a24d,修复转向系,1.0
eb607605e0ff42f7b55ea36980a0a24d,修复车身（车厢）,1.0
eb607605e0ff42f7b55ea36980a0a24d,修复发动机,2.0
eb607605e0ff42f7b55ea36980a0a24d,修复制动系,5.0
eb607605e0ff42f7b55ea36980a0a24d,修复电器,1.0
eb607605e0ff42f7b55ea36980a0a24d,修复传动系,1.0
eb607605e0ff42f7b55ea36980a0a24d,修复离合器,1.0
d06ac7a67c9a47ba9f82fe0bf264f6d2,更换干燥桶,1.0
d06ac7a67c9a47ba9f82fe0bf264f6d2,机油保养,1.0
d06ac7a67c9a47ba9f82fe0bf264f6d2,调换轮胎,1.0
d06ac7a67c9a47ba9f82fe0bf264f6d2,保养四轮,1.0
f2ac9d3ea8f44899a3763b465bbb8ff0,换车身控制模块,30.0
128960aa96124568a8c98438f22b3770,更换转向高压油管,3.0
4c3a9d3004144821ab53d9465d551ec7,更换气缸盖垫片,14.0
cc81ca6bfe8d400fa17d84172824074f,日常或一级维护保养,1.0
173768e77b6e42448741586a381eb72a,更换尿素液位传感器,4.0
173768e77b6e42448741586a381eb72a,拆装更换左转向节主销,3.5
173768e77b6e42448741586a381eb72a,拆装更换右转向节主销,3.5
173768e77b6e42448741586a381eb72a,拆装更换中冷器进气管,1.0
